"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
718	2.84	3.01	2.75	17.8	46.87	38.53	33.45	301.2808593		
720	2.82	3.06	2.83	18.36	46.69	40.35	33.09	300.2225672		
722	2.84	3.04	3.01	18.36	46.51	40.53	33.82	301.2808593		
724	2.83	3.03	2.61	17.99	46.87	40.53	33.82	300.7521807		
726	2.87	3	2.91	18.36	46.69	39.8	33.09	302.8613348		
728	2.8	3.06	2.9	17.62	46.87	40.89	32.55	299.1605157		
730	2.81	3.04	2.92	18.17	46.69	40.53	33.64	299.6920139		
732	2.83	2.98	2.91	18.36	46.51	39.08	33.09	300.7521807		
734	2.79	3.01	2.88	17.99	46.87	39.26	32.91	298.6280675		
736	2.79	2.95	2.77	18.17	46.69	40.71	33.82	298.6280675		
738	2.79	2.9	2.84	17.62	46.87	40.35	33.27	298.6280675		
740	2.8	3	2.8	17.8	46.87	39.8	32.73	299.1605157		
742	2.82	3.03	2.89	18.17	46.69	41.43	34	300.2225672		
